,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_0,LEVEL_1
0,0_0_0,372277.4096808389,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
1,0_0_1,72082.04593868848,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
2,0_0_2,22856.02277572127,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
3,0_0_3,850.6173974682652,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
4,0_0_4,70783.79579939308,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
5,0_0_5,14794.811362244547,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
6,0_0_6,442.6773064613806,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
7,0_0_7,1533.4947545134223,24,Infraestructura Urbana,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
8,0_0_8,401.20399366037617,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
9,0_0_9,7575.898587464237,26,Cuerpo de agua,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
10,0_0_10,5107.702215530578,32,Salinas,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
11,0_0_11,7143.434531322354,42,Pastizal Abierto,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
12,0_0_12,26761.346065836115,43,Pastizal Cerrado,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
13,0_0_13,713.8598871855625,44,Pastizal Disperso,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
14,0_0_14,14541.39723551556,45,Leñosas Dispersas,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
15,0_0_15,33261.48775895062,57,Cultivos Simples,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
16,0_0_16,5.498356565419387,58,Cultivos Multiples,0.0,col5-v2-arg-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
17,1_0_0,372282.68941623607,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
18,1_0_1,69474.99931179793,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
19,1_0_2,21495.150996676275,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
20,1_0_3,714.7189371082326,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
21,1_0_4,71524.77567205354,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
22,1_0_5,14106.287746993776,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
23,1_0_6,442.9954685047972,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
24,1_0_7,1535.081603739409,24,Infraestructura Urbana,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
25,1_0_8,377.0498315066903,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
26,1_0_9,7463.708589461802,26,Cuerpo de agua,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
