,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_0,LEVEL_1,LEVEL_2
0,0_0_0,12338.661063888256,3,Leñosas Cerradas,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
1,0_0_1,12325.08296866145,4,Leñosas Abiertas,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
2,0_0_2,0.1722123021240235,6,Leñosas Inundables,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
3,0_0_3,1.218745745483398,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
4,0_0_4,1.9299859097347505,11,Pastizal Inundable,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
5,0_0_5,1284.068496515045,15,Pasturas,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
6,0_0_6,0.2447745895996093,23,Playa y Dunas,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
7,0_0_7,66.56081292266758,24,Infraestructura Urbana,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
8,0_0_8,0.0045563210449218,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
9,0_0_9,28.573170207728687,26,Cuerpo de agua,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
10,0_0_10,355.95442353387466,32,Salinas,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
11,0_0_11,1314.4188902833846,42,Pastizal Abierto,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
12,0_0_12,720.3473066749394,43,Pastizal Cerrado,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
13,0_0_13,136.14621490093074,44,Pastizal Disperso,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
14,0_0_14,1130.814565914477,45,Leñosas Dispersas,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
15,0_0_15,1610.4361881224222,57,Cultivos Simples,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
16,0_0_16,0.0928888982543944,58,Cultivos Multiples,0.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,San Luis
17,0_1_0,9125.219027782576,3,Leñosas Cerradas,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
18,0_1_1,5239.263638803855,4,Leñosas Abiertas,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
19,0_1_2,365.1307911679682,6,Leñosas Inundables,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
20,0_1_3,19.589515589737008,9,Leñosas Cultivadas,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
21,0_1_4,21173.701732586,11,Pastizal Inundable,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
22,0_1_5,6553.480568741928,15,Pasturas,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
23,0_1_6,99.83647571895696,24,Infraestructura Urbana,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
24,0_1_7,590.1739337352844,26,Cuerpo de agua,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
25,0_1_8,94.56912588745116,42,Pastizal Abierto,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
26,0_1_9,2256.74388939478,43,Pastizal Cerrado,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
27,0_1_10,15.204334220538689,44,Pastizal Disperso,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
28,0_1_11,0.0585110792846679,45,Leñosas Dispersas,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
29,0_1_12,2617.2261871019714,57,Cultivos Simples,1.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Santa Fe
30,0_2_0,14997.16291719167,3,Leñosas Cerradas,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
31,0_2_1,23671.25567036065,4,Leñosas Abiertas,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
32,0_2_2,0.1463435100097657,6,Leñosas Inundables,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
33,0_2_3,1.7162224996948274,9,Leñosas Cultivadas,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
34,0_2_4,14.66090397081226,11,Pastizal Inundable,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
35,0_2_5,3.0763958929443405,15,Pasturas,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
36,0_2_6,1.6065166342773471,23,Playa y Dunas,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
37,0_2_7,39.44343775597056,24,Infraestructura Urbana,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
38,0_2_8,0.0695648435058593,25,Otras Areas No Vegetadas,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
39,0_2_9,11.231527659545916,26,Cuerpo de agua,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
40,0_2_10,706.3996982787402,32,Salinas,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
41,0_2_11,551.1210456106762,42,Pastizal Abierto,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
42,0_2_12,205.9780017347936,43,Pastizal Cerrado,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
43,0_2_13,79.73182736709009,44,Pastizal Disperso,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
44,0_2_14,5268.439385098881,45,Leñosas Dispersas,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
45,0_2_15,26.01361368687171,57,Cultivos Simples,2.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,La Rioja
46,0_3_0,13797.601116685166,3,Leñosas Cerradas,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
47,0_3_1,768.3848563114809,4,Leñosas Abiertas,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
48,0_3_2,0.0258122276611328,6,Leñosas Inundables,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
49,0_3_3,0.5252203288540709,9,Leñosas Cultivadas,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
50,0_3_4,0.4261329487304687,11,Pastizal Inundable,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
51,0_3_5,12.87980975317388,15,Pasturas,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
52,0_3_6,32.32274536529544,23,Playa y Dunas,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
53,0_3_7,42.36480464561094,24,Infraestructura Urbana,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
54,0_3_8,8.753228704711425,26,Cuerpo de agua,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
55,0_3_9,962.0216525111352,32,Salinas,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
56,0_3_10,440.448239700724,42,Pastizal Abierto,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
57,0_3_11,459.3097414394171,43,Pastizal Cerrado,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
58,0_3_12,6.817055031568174,44,Pastizal Disperso,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
59,0_3_13,1570.911727034074,45,Leñosas Dispersas,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
60,0_3_14,660.3782791954873,57,Cultivos Simples,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
61,0_3_15,0.0796324262695312,58,Cultivos Multiples,3.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Catamarca
62,0_4_0,6853.556136724064,3,Leñosas Cerradas,4.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Tucumán
63,0_4_1,204.43879135663383,4,Leñosas Abiertas,4.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Tucumán
64,0_4_2,22.36214994754702,9,Leñosas Cultivadas,4.0,col5-v2-arg-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,Argentina,Tucumán
