,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_1,LEVEL_2,LEVEL_3
0,0_0_0,9128.06043778582,3,Leñosas Cerradas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
1,0_0_1,142.58944472633928,4,Leñosas Abiertas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
2,0_0_2,2.025768869201669,6,Leñosas Inundables,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
3,0_0_3,1.6658908209838854,11,Pastizal Inundable,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
4,0_0_4,0.2789799741210937,15,Pasturas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
5,0_0_5,5.950840344705267,23,Playa y Dunas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
6,0_0_6,0.4334875894775369,24,Infraestructura Urbana,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
7,0_0_7,0.6239540952787513,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
8,0_0_8,8.150857185746261,26,Cuerpo de agua,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
9,0_0_9,0.0109060018310546,36,Cultivos Arbustivos,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
10,0_0_10,1.0964641733230889,42,Pastizal Abierto,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
11,0_0_11,87.6861369647909,43,Pastizal Cerrado,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
12,0_0_12,54.31867778377614,57,Cultivos Simples,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
13,0_1_0,91291.7201590052,3,Leñosas Cerradas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
14,0_1_1,3423.9535165423104,4,Leñosas Abiertas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
15,0_1_2,210.42712856926872,6,Leñosas Inundables,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
16,0_1_3,3.4842655627460632,11,Pastizal Inundable,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
17,0_1_4,285.4113849656038,15,Pasturas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
18,0_1_5,254.3312368294868,23,Playa y Dunas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
19,0_1_6,44.70370848849434,24,Infraestructura Urbana,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
