system:index,area,class_id,class_name,territory,version,year,.geo
0_0_0,7480.9802964050095,3,Leñosas Cerradas,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_1,124.6955541515711,4,Leñosas Abiertas,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_2,2.0257688692016695,6,Leñosas Inundables,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_3,1.6658908209838854,11,Pastizal Inundable,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_4,0.27897997412109377,15,Pasturas,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_5,3.668297390380866,23,Playa y Dunas,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_6,0.016735279235839846,24,Infraestructura Urbana,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_7,1.0026244345092754,26,Cuerpo de agua,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_8,0.0939727816772462,42,Pastizal Abierto,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_9,12.292043702262683,43,Pastizal Cerrado,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_10,13.634660519164811,57,Cultivos Simples,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_0,398.65854236480925,3,Leñosas Cerradas,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_1,17.30176228825416,4,Leñosas Abiertas,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_2,0.12327976232910132,23,Playa y Dunas,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_3,0.0662665386962891,26,Cuerpo de agua,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_4,0.010906001831054685,36,Cultivos Arbustivos,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_5,0.09293821911621092,42,Pastizal Abierto,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_6,15.83979252981455,43,Pastizal Cerrado,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_7,4.681974950466731,57,Cultivos Simples,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_0,925.5187141137542,3,Leñosas Cerradas,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_1,0.5629353031616214,4,Leñosas Abiertas,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_2,0.27713353070068336,23,Playa y Dunas,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_3,0.41675231024169707,24,Infraestructura Urbana,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_4,2.334198176378433,26,Cuerpo de agua,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_5,0.1965206095581054,42,Pastizal Abierto,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_6,43.13496857979794,43,Pastizal Cerrado,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_7,32.74428665289756,57,Cultivos Simples,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_3_0,267.30029643960717,3,Leñosas Cerradas,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_3_1,0.9536707088881556,23,Playa y Dunas,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_3_2,0.36798105220229205,25,Otras Areas No Vegetadas,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_3_3,3.3942458678339964,26,Cuerpo de agua,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_3_4,0.490814878324382,42,Pastizal Abierto,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_3_5,14.049193660145564,43,Pastizal Cerrado,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_3_6,1.090454193517346,57,Cultivos Simples,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_4_0,2.7175232360629256,3,Leñosas Cerradas,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_4_1,0.0025100068359375,4,Leñosas Abiertas,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_4_2,0.7471505847323533,23,Playa y Dunas,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_4_3,0.25597304307645935,25,Otras Areas No Vegetadas,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_4_4,0.9544103203582199,26,Cuerpo de agua,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_4_5,0.17851460048971723,42,Pastizal Abierto,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_4_6,0.1996678705791397,43,Pastizal Cerrado,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_4_7,0.3960646971495385,57,Cultivos Simples,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_5_0,52.88519741143748,3,Leñosas Cerradas,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_5_1,0.026682976515108005,4,Leñosas Abiertas,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_5_2,0.18130508931214548,23,Playa y Dunas,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_5_3,0.3992103521302462,26,Cuerpo de agua,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_5_4,0.043693237792968735,42,Pastizal Abierto,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_5_5,2.1704771980961843,43,Pastizal Cerrado,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_5_6,1.7712827461669918,57,Cultivos Simples,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_6_0,833.0490109171673,3,Leñosas Cerradas,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_6_1,0.019465956848144533,4,Leñosas Abiertas,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_6_2,2.7308166715631117,23,Playa y Dunas,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_6_3,0.022020886901855472,25,Otras Areas No Vegetadas,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_6_4,6.18328481414438,26,Cuerpo de agua,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_6_5,0.8937761554744936,42,Pastizal Abierto,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
