system:index,area,class_id,class_name,territory,version,year,.geo
0_0_0,680925.2206915994,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_1,78085.06930485985,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_2,70952.47334728384,6,Leñosas Inundables,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_3,850.619373221736,9,Leñosas Cultivadas,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_4,96883.14211323028,11,Pastizal Inundable,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_5,24196.863336996892,15,Pasturas,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_6,773.0600427901056,23,Playa y Dunas,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_7,2360.041670048455,24,Infraestructura Urbana,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_8,408.3101269279256,25,Otras Areas No Vegetadas,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_9,10181.13608318393,26,Cuerpo de agua,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_10,5109.015344642677,32,Salinas,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_11,0.1059307541503906,36,Cultivos Arbustivos,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_12,7333.02428084687,42,Pastizal Abierto,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_13,50512.33808790246,43,Pastizal Cerrado,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_14,716.0146239024026,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_15,14542.06613884378,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_16,34514.44010516648,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_17,40.24062245292059,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_0,682044.1665444932,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_1,75259.60752025191,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_2,68252.61433539903,6,Leñosas Inundables,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_3,714.8169745851712,9,Leñosas Cultivadas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_4,96825.85088583357,11,Pastizal Inundable,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_5,24629.71867586351,15,Pasturas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_6,762.0378062419819,23,Playa y Dunas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_7,2371.504097886713,24,Infraestructura Urbana,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_8,386.4112380614527,25,Otras Areas No Vegetadas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_9,10065.333202470583,26,Cuerpo de agua,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_10,4979.433814262054,32,Salinas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_11,0.03611899865722654,36,Cultivos Arbustivos,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_12,6906.264905823745,42,Pastizal Abierto,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_13,49261.20514626811,43,Pastizal Cerrado,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_14,698.8538845192707,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_15,14481.542264258074,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_16,40626.54224378679,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_17,117.24156564744504,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_0,681461.0178303716,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_1,75880.88905142335,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
