system:index,area,class_id,class_name,territory,version,year,.geo
0_0_0,598.2145293084862,3,Leñosas Cerradas,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_1,129.74155575852768,6,Leñosas Inundables,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_2,0.0023901502685546878,9,Leñosas Cultivadas,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_3,8194.031680250764,11,Pastizal Inundable,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_4,220.2805830497118,15,Pasturas,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_5,33.575116268748275,24,Infraestructura Urbana,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_6,564.2460351199445,26,Cuerpo de agua,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_7,0.09647185827636712,42,Pastizal Abierto,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_8,1852.8091762371264,43,Pastizal Cerrado,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_9,0.728113592087689,44,Pastizal Disperso,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_10,1.1550460920996568,57,Cultivos Simples,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_0,355.8737491986666,3,Leñosas Cerradas,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_1,2064.2191291360027,11,Pastizal Inundable,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_2,47.69796056805008,15,Pasturas,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_3,32.36752608577592,24,Infraestructura Urbana,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_4,355.8529570070649,26,Cuerpo de agua,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_5,5.429293692199706,42,Pastizal Abierto,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_6,1275.9684506785118,43,Pastizal Cerrado,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_7,30.975732312960712,57,Cultivos Simples,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_8,0.4403223889480891,58,Cultivos Multiples,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
