,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_0,LEVEL_1,LEVEL_2
0,0_0_0,598.2145293084862,3,Leñosas Cerradas,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
1,0_0_1,129.74155575852768,6,Leñosas Inundables,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
2,0_0_2,0.0023901502685546,9,Leñosas Cultivadas,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
3,0_0_3,8194.031680250764,11,Pastizal Inundable,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
4,0_0_4,220.2805830497118,15,Pasturas,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
5,0_0_5,33.575116268748275,24,Infraestructura Urbana,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
6,0_0_6,564.2460351199445,26,Cuerpo de agua,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
7,0_0_7,0.0964718582763671,42,Pastizal Abierto,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
8,0_0_8,1852.8091762371264,43,Pastizal Cerrado,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
9,0_0_9,0.728113592087689,44,Pastizal Disperso,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
10,0_0_10,1.1550460920996568,57,Cultivos Simples,0.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Neembucu
11,0_1_0,355.8737491986666,3,Leñosas Cerradas,1.0,col5-v2-par-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",CHACO,PARAGUAY,Itapua
